usr_a7d59ec0-4e6a-4f94-ad37-972602b72958|MODERATOR: tupper|#ff0033
usr_fc152d76-e45a-448e-b90a-860da7ea8b3e|Débiteur habibi hamond.|#00ff44
usr_7dd8c2f2-6884-44c6-b9b2-490770b64a49|<size=120%>HORNY FURRY<size=90%>ELS Member|#ff0000
usr_29187716-6c4d-4215-9342-925b99fe4374|<size=220%>Aime les enfent#00ff51
usr_8775051c-9e24-4710-8d60-db0aaef67534|- BadUpdate Enjoyer -|#00ff51
usr_d0b81f6d-daad-4a3b-989a-ccbf7cbd3b0e|Pro-Daech|#9c5757
usr_7ccd2262-a99b-4068-9492-59274dcf921a|KAPLOWIE|#FAFFF2
usr_b2c71cbf-d328-4c70-8139-eb9622aad2c1|<size=120%>Meprex|#FFFFFF
usr_300ff87e-5366-4917-ab51-448f30fcbc8|BOOBS INSPECTOR|#7A0000
usr_3b09de1d-3e39-4fcd-a738-639408061f71|<size=120%>Gros PD.|#a600ff
usr_a9560a57-6908-411d-bd0a-a180d1bb4efa|<size=120%>I'm Blue|#0d00ff
usr_f5ed490b-83bc-4542-a428-e3ae678e9470|BLEACHTECH|#CC6CE7
usr_e0afc989-2161-41e1-ae66-0f9ac14b764d|<color=#2A7B9B>s</color><color=#2F819E>t</color><color=#3488A2>a</color><color=#398EA6>t</color><color=#3E94AA>i</color><color=#439AAD>c</color><color=#489FB1> </color><color=#4DA5B5>u</color><color=#52ABB8>n</color><color=#57C785>s</color><color=#62C07B>a</color><color=#6DB971>f</color><color=#78B267>e</color><color=#83AB5D> </color><color=#8EA453>p</color><color=#99A04A>u</color><color=#A49C40>b</color><color=#AF9736>l</color><color=#BA932C>i</color><color=#C58E22>c</color><color=#D08918> </color><color=#DB850E>v</color><color=#E68004>o</color><color=#EDDD53>i</color><color=#EDDD53>d</color>|#bb00ff
usr_1f557712-8729-4d1c-acb7-7b065437eba3|will be offline for 2 week starting 25 this month|#ae00d1
usr_2e3953cc-f469-4b60-8601-73e19301d0c8|<color=#ff0000>E<color=#ff6200>c<color=#ff9d00>h<color=#ffd000>o|#6e004f
usr_c16a011e-f28c-4863-9cb6-1e2450b948fc|<size=920%>Meprex|#ff0055
usr_95310629-ff2a-48f0-9d27-856ae112a8d4|Cool person with face tracking|#AA00FF
usr_67c73861-eeb6-48aa-9fb7-e481d506977e|<color=#ffffff>Nostalgen <3|#280254
